StartDate,EndDate,Duration,MTurkCode,Browser Meta Info-Browser,Browser Meta Info-Operating System,96 AW_1,96 AW_2,96 GL_1,96 GL_2,128 AW_1,128 AW_2,128 GL_1,128 GL_2,256 AW_1,256 AW_2,256 GL_1,256 GL_2,lossle AW_1,lossle AW_2,lossle GL_1,lossle GL_2,96 AW2_1,96 AW2_2,96 GL2_1,96 GL2_2,128 AW2_1,128 AW2_2,128 GL2_1,128 GL2_2,256 AW2_1,256 AW2_2,256 GL2_1,256 GL2_2,lossle AW2_1,lossle AW2_2,lossle GL2_1,lossle GL2_2,Fuel Text,Instruct 2,P2 C 96_1,P2 C 96_2,P2 C 256_1,P2 C 256_2,P2 C Loss_1,P2 C Loss_2,P2 T 96_1,P2 T 96_2,P2 T 256_1,P2 T 256_2,P2 T Loss_1,P2 T Loss_2,SpeakType,NormalUse,ListFreq,ListLoc,Age
2015-08-15 19:53:40,2015-08-15 20:00:27,6m 47s,111718683,Firefox,Windows NT 6.1,,,,,,,,,2,3,6,6,,,,,2,5,6,5,,,,,,,,,,,,,1,1,7,4,7,5,7,7,,,,,,,2,1,7,4,3
2015-08-15 19:52:43,2015-08-15 19:56:26,3m 43s,775107469,Firefox,Windows NT 6.0,,,,,,,,,,,,,5,4,6,6,6,5,6,6,,,,,,,,,,,,,1,1,6,6,6,6,6,6,,,,,,,4,1,7,4,3
2015-08-15 19:51:34,2015-08-15 19:57:27,5m 53s,471870705,Firefox,Windows NT 6.0,,,,,,,,,5,6,6,7,,,,,,,,,5,6,6,7,,,,,,,,,1,1,2,6,2,6,2,6,,,,,,,2,1,7,1,4
2015-08-15 19:49:59,2015-08-15 19:56:45,6m 46s,239767389,Firefox,Windows NT 6.1,,,,,5,1,5,5,,,,,,,,,,,,,,,,,,,,,5,5,5,5,1,1,7,7,7,7,7,7,,,,,,,4,1,7,4,6
2015-08-15 19:49:24,2015-08-15 19:56:21,6m 57s,115409677,Firefox,Windows NT 6.3,,,,,,,,,2,6,6,6,,,,,,,,,5,6,6,5,,,,,,,,,1,1,7,3,7,6,7,4,,,,,,,5,1,7,4,5
2015-08-15 02:14:58,2015-08-15 02:20:27,5m 29s,928197601,Chrome,Windows NT 6.3,6,7,6,7,,,,,,,,,,,,,,,,,,,,,,,,,6,7,6,7,1,1,6,6,6,6,4,4,,,,,,,2,1,6,4,6
2015-08-13 22:23:37,2015-08-13 22:28:45,5m 8s,219181934,Firefox,Windows NT 6.3,,,,,,,,,,,,,7,6,6,6,,,,,,,,,7,5,6,6,,,,,1,1,,,,,,,6,5,6,6,6,6,2,1,7,1,5
2015-08-13 18:24:49,2015-08-13 18:31:48,6m 59s,714983258,Firefox,Windows NT 6.1,4,2,2,6,,,,,,,,,,,,,,,,,4,2,2,6,,,,,,,,,1,1,,,,,,,5,5,5,5,5,5,5,1,6,3,4
2015-08-13 11:32:00,2015-08-13 11:35:20,3m 20s,997465476,Chrome,Windows NT 6.1,6,5,7,6,,,,,,,,,,,,,,,,,,,,,,,,,6,5,7,6,1,1,,,,,,,2,3,3,6,3,6,5,1,7,4,2
2015-08-13 04:56:24,2015-08-13 05:02:25,6m 1s,725701270,Chrome,Windows NT 10.0,,,,,,,,,5,5,7,7,,,,,5,7,7,7,,,,,,,,,,,,,1,1,6,7,1,1,1,1,,,,,,,4,1,7,4,3
